id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9668,front room/double bed,32294.0,Ssameer Or Trip,Manhattan,Harlem,40.82245,-73.95104,Private room,50.0,3.0,242.0,2019-06-01,2.04,3.0,355.0
9704,Spacious 1 bedroom in luxe building,32045.0,Teri,Manhattan,Harlem,40.81305,-73.95466,Private room,52.0,2.0,88.0,2019-06-14,1.42,1.0,255.0
9782,Loft in Williamsburg Area w/ Roof,32169.0,Andrea,Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55.0,4.0,197.0,2019-06-15,1.65,3.0,284.0
9783,back room/bunk beds,32294.0,Ssameer Or Trip,Manhattan,Harlem,40.8213,-73.95318,Private room,50.0,3.0,273.0,2019-07-01,2.37,3.0,359.0
10452,Large B&B Style rooms,35935.0,Angela,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70.0,1.0,74.0,2019-05-12,0.66,2.0,269.0
10962,"Lovely room 2 & garden; Best area, Legal rental",9744.0,Laurie,Brooklyn,South Slope,40.66869,-73.9878,Private room,89.0,4.0,168.0,2019-06-21,1.41,3.0,340.0
11452,Clean and Quiet in Brooklyn,7355.0,Vt,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,Private room,35.0,60.0,0.0,,,1.0,365.0
11708,Cute apt in artist's home,44145.0,Tyrome,Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,85.0,2.0,231.0,2019-06-22,1.96,2.0,22.0
11943,Country space in the city,45445.0,Harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private room,150.0,1.0,0.0,,,1.0,365.0
12048,LowerEastSide apt share shortterm 1,7549.0,Ben,Manhattan,Lower East Side,40.71401,-73.98917,Shared room,40.0,1.0,214.0,2019-07-05,1.81,4.0,188.0
12192,ENJOY Downtown NYC!,46978.0,Edward,Manhattan,East Village,40.7229,-73.98199,Private room,68.0,2.0,245.0,2019-06-21,2.08,2.0,96.0
12299,Beautiful Sunny Park Slope Brooklyn,47610.0,Abdul,Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120.0,3.0,15.0,2019-05-27,0.39,1.0,345.0
12303,1bdr w private bath. in lofty apt,47618.0,Yolande,Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120.0,7.0,25.0,2018-09-30,0.23,1.0,311.0
12318,West Side Retreat,16800.0,Cyn,Manhattan,Upper West Side,40.79009,-73.97927,Private room,135.0,4.0,81.0,2019-06-16,0.69,1.0,273.0
12343,BEST BET IN HARLEM,47727.0,Earl,Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150.0,7.0,97.0,2019-06-13,0.84,1.0,309.0
12627,Entire apartment in central Brooklyn neighborhood.,49670.0,Rana,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150.0,29.0,11.0,2019-06-05,0.49,1.0,95.0
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124.0,Orestes,Queens,Long Island City,40.74771,-73.9474,Private room,130.0,3.0,248.0,2019-07-01,2.25,1.0,215.0
12940,Charming Brownstone 3 - Near PRATT,50148.0,Adreinne,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110.0,7.0,61.0,2019-05-25,0.52,1.0,265.0
13050,bright and stylish duplex,50846.0,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115.0,3.0,11.0,2017-01-01,0.1,1.0,0.0
13394,Fort Greene brownstone ,52335.0,Alexander,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80.0,3.0,135.0,2019-06-17,1.16,2.0,192.0
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275.0,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80.0,1.0,112.0,2019-06-16,1.01,3.0,251.0
14287,Cozy 1BD on Central Park West in New York City,56094.0,Joya,Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151.0,2.0,73.0,2019-07-07,0.63,1.0,302.0
14290,* ORIGINAL BROOKLYN LOFT *,56104.0,James,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228.0,3.0,82.0,2019-05-17,0.7,1.0,140.0
14314,Greenpoint Place...Has It All! ,56246.0,Jeanne,Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144.0,2.0,328.0,2019-06-29,2.82,1.0,234.0
14322,Beautiful Apartment in Manhattan!!!,56284.0,Francesca,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200.0,7.0,19.0,2019-03-25,0.22,1.0,257.0
14377,Williamsburg 1 bedroom Apartment,56512.0,Joanna,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150.0,30.0,105.0,2019-06-22,0.9,1.0,30.0
14991,"Great Location, Manhattan Bedroom!",59023.0,Bianca,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110.0,5.0,19.0,2019-05-18,0.17,1.0,301.0
15220,Best Location in NYC! TIMES SQUARE!,59734.0,Luiz,Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69.0,2.0,289.0,2019-06-09,2.49,2.0,294.0
15338,Room in Greenpoint Loft w/ Roof,32169.0,Andrea,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49.0,4.0,138.0,2019-06-04,1.19,3.0,320.0
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,60049.0,Ted,Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180.0,30.0,21.0,2019-06-29,0.3,1.0,154.0
15385,"Very, very cozy place",60252.0,Cristina,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80.0,2.0,42.0,2019-06-30,0.38,1.0,263.0
15396,Sunny & Spacious Chelsea Apartment,60278.0,Petra,Manhattan,Chelsea,40.74623,-73.9953,Entire home/apt,375.0,180.0,5.0,2018-11-03,0.12,1.0,180.0
15711,2 bedroom - Upper East Side-great for kids,61491.0,D,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250.0,2.0,66.0,2019-03-30,0.57,2.0,231.0
16326,Comfortable 4-bedroom apt in family house.,63588.0,Dimitri,Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200.0,30.0,143.0,2019-01-26,1.33,2.0,297.0
16338,Double Room w Private Deck Clinton Hill Best Area,63613.0,Patricia,Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55.0,7.0,27.0,2017-09-30,0.23,2.0,292.0
16421,Your Heaven in Hells Kitchen,63924.0,Mark,Manhattan,Hell's Kitchen,40.75979,-73.99119,Private ro,,,,,,,
